Resultados para df_StudyTimeWeekly (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,30.476637564602452,0.026219819185035576,4.701554317975284,5.52056496788168
Regresión Polinomica,30.384039470966766,0.029178485086828077,4.6865979146092345,5.512171937718087
Regresión Neuronal,30.414972400420073,0.04665275101131472,4.708940046054663,5.514977098811932


Resultados para df_StudyTimeWeekly (estandarizado):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.9552801231618965,0.026219819185035798,0.8323831946290832,0.9773843272540728
Regresión Polinomica,0.9523776684177592,0.02917848318005145,0.8297352514050061,0.9758983904166249
Regresión Neuronal,0.9540417175841928,0.04595828241580724,0.8336040057094757,0.9767505912894001


Resultados para df_StudyTimeWeekly (normalizado Min-Max):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.0763668509578539,0.026219819185035687,0.23534792524595866,0.2763455282031064
Regresión Polinomica,0.07613482328937363,0.029178484392947568,0.23459924561957324,0.27592539442641667
Regresión Neuronal,0.07621858857723408,0.046574504905678604,0.23557855258408833,0.2760771424389098


================================================================================

Resultados para df_Absences (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,10.598474097337501,0.8471379299787174,2.648461043235358,3.2555297721473075
Regresión Polinomica,10.162611318325325,0.853424390277919,2.572741201539006,3.187885085495606
Regresión Neuronal,10.424541971037002,0.8544749185001237,2.561793449234264,3.228705928237659


Resultados para df_Absences (estandarizado):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.147953148548352,0.8471379299787174,0.31292050587684944,0.38464678413884085
Regresión Polinomica,0.14186856629839376,0.8534243919233877,0.30397406820804024,0.3766544388406882
Regresión Neuronal,0.14328688028552208,0.8567131197144779,0.30054884128110276,0.3785325353064411


Resultados para df_Absences (normalizado Min-Max):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.01260222841538347,0.8471379299787174,0.09132624287018477,0.11225964731542439
Regresión Polinomica,0.01208396121420025,0.8534243893719066,0.08871521413935203,0.10992707225338193
Regresión Neuronal,0.012225147443498579,0.8564738714364579,0.08801849839053032,0.11056738869801791


================================================================================

Resultados para df_ParentalSupport (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,1.2419753687668607,0.041817487549374754,0.9083203925906642,1.1144394863638225
Regresión Polinomica,1.2619578075141862,0.026401059941141614,0.9152801076157587,1.1233689543129568
Regresión Neuronal,7230461723.508385,-5527303927.006779,21121.891375806994,85032.12171590442


Resultados para df_ParentalSupport (estandarizado):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.9864547349692634,0.04181748754937431,0.8095080167588546,0.9932042765560685
Regresión Polinomica,1.0023260285304074,0.026401072177074103,0.8157106084047794,1.0011623387495194
Regresión Neuronal,3620.4347301819034,-3483.5271900489724,8.101909270890495,60.17004844756154


Resultados para df_ParentalSupport (normalizado Min-Max):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.07762346054792879,0.041817487549374754,0.22708009814766605,0.2786098715909556
Regresión Polinomica,0.07887236304168257,0.026401059051807785,0.22882002690036696,0.2808422387065069
Regresión Neuronal,0.07873259033212529,0.0370098675385927,0.23117886252038325,0.2805932827637278


================================================================================

Resultados para df_Tutoring (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.21086830171851653,0.034390872016724305,0.416795682530571,0.4592039870455357
Regresión Polinomica,0.20948692120358076,0.040716496226572474,0.4123567466468781,0.45769741227538174
Regresión Neuronal,0.2228293083424988,-0.05856895446777344,0.4669673332734088,0.47204799368549255


Resultados para df_Tutoring (estandarizado):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,1.0017471941503147,0.034390872016724194,0.9084407951227648,1.0008732158222213
Regresión Polinomica,0.9951848714410322,0.04071645869753315,0.8987656779254432,0.9975895305390049
Regresión Neuronal,0.9678105067128877,0.03218949328711229,0.8860966202726794,0.9837736054158435


Resultados para df_Tutoring (normalizado Min-Max):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.21086830171851653,0.034390872016724305,0.416795682530571,0.4592039870455357
Regresión Polinomica,0.20948692259625332,0.0407164898492397,0.4123567437669572,0.45769741379677176
Regresión Neuronal,0.22621806010444817,-0.07466748263690826,0.47190413481271415,0.47562386410318835


================================================================================

Resultados para df_Extracurricular (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.2366029260831847,0.012061714853977001,0.4707723234152996,0.48641846807372013
Regresión Polinomica,0.23654868274068308,0.012288208565017555,0.4680351192218281,0.4863627069797633
Regresión Neuronal,0.25925107478568166,-0.09678995609283447,0.5068899034705621,0.5091670401603796


Resultados para df_Extracurricular (estandarizado):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,1.0009743665157926,0.012061714853977223,0.9683053808249795,1.0004870646419137
Regresión Polinomica,1.000744901672976,0.012288191286238592,0.9626753400239573,1.0003723815024963
Regresión Neuronal,0.9862282521076676,0.013771747892332376,0.954847449672774,0.9930902537572643


Resultados para df_Extracurricular (normalizado Min-Max):
Modelo,MSE,R2,MAE,RMSE
Regresión Lineal,0.2366029260831847,0.012061714853977001,0.4707723234152996,0.48641846807372013
Regresión Polinomica,0.23654868267802612,0.0122882088266425,0.46803512307306505,0.48636270691534944
Regresión Neuronal,0.2675882320684065,-0.1320610675270517,0.5125855522674496,0.517289311767029


================================================================================

Resultados para df_Sports (sin normalizar):
Modelo,MSE,R2,MAE,RMSE
